year,NSW,VIC,QLD,SA,WA,TAS,NT,ACT,AUS
1788,859,,,,,,,,859
1789,645,,,,,,,,645
1790,2056,,,,,,,,2056
1791,2873,,,,,,,,2873
1792,3264,,,,,,,,3264
1793,3514,,,,,,,,3514
1794,3579,,,,,,,,3579
1795,3466,,,,,,,,3466
1796,4100,,,,,,,,4100
1797,4344,,,,,,,,4344
1798,4588,,,,,,,,4588
1799,5088,,,,,,,,5088
1800,5217,,,,,,,,5217
1801,5945,,,,,,,,5945
1802,7014,,,,,,,,7014
1803,7061,,,,,177,,,7238
1804,7040,,,,,558,,,7598
1805,6950,,,,,757,,,7707
1806,7162,,,,,748,,,7910
1807,7948,,,,,846,,,8794
1808,9105,,,,,1158,,,10263
1809,10262,,,,,1298,,,11560
1810,10096,,,,,1470,,,11566
1811,10287,,,,,1588,,,11875
1812,10936,,,,,1694,,,12630
1813,12157,,,,,1800,,,13957
1814,12183,,,,,1903,,,14086
1815,13116,,,,,1947,,,15063
1816,15518,,,,,2035,,,17553
1817,17848,,,,,3344,,,21192
1818,22438,,,,,3421,,,25859
1819,26059,,,,,5413,,,31472
1820,28024,,,,,5519,,,33543
1821,29665,,,,,5827,,,35492
1822,29680,,,,,7684,,,37364
1823,30623,,,,,10009,,,40632
1824,35769,,,,,12303,,,48072
1825,38313,,,,,14192,,,52505
1826,38890,,,,,14992,,,53882
1827,39467,,,,,16833,,,56300
1828,40069,,,,,18128,,,58197
1829,40916,,,,1003,20015,,,61934
1830,44588,,,,1172,24279,,,70039
1831,48000,,,,1341,26640,,,75981
1832,53524,,,,1510,28903,,,83937
1833,62112,,,,1655,34328,,,98095
1834,66068,,,,1800,37688,,,105556
1835,71304,,,,1878,40172,,,113354
1836,78929,,,546,1956,43689,,,125120
1837,86482,,,3273,2035,42698,,,134488
1838,98176,,,6000,1928,45764,,,151868
1839,113437,,,10315,2154,44033,,,169939
1840,127468,,,14630,2311,45999,,,190408
1841,145303,,,15485,2760,57420,,,220968
1842,162317,,,16340,3476,58851,,,240984
1843,169135,,,17196,3853,60664,,,250848
1844,178460,,,18999,4350,62478,,,264287
1845,187918,,,22460,4479,64291,,,279148
1846,196704,,,25893,4547,66105,,,293249
1847,205009,,,31153,4717,67918,,,308797
1848,220805,,,38666,4622,68235,,,332328
1849,247260,,,52904,4645,68553,,,373362
1850,266900,,,63700,5886,68870,,,405356
1851,197265,97489,,66538,7186,69187,,,437665
1852,204656,168321,,68663,8711,63445,,,513796
1853,224324,222436,,78944,9334,65954,,,600992
1854,241813,283942,,92545,11743,64874,,,694917
1855,266001,347305,,97387,12605,69962,,,793260
1856,288361,390384,,107886,13158,76940,,,876729
1857,306562,456522,,109917,13368,83918,,,970287
1858,335990,496146,,118665,14543,85484,,,1050828
1859,327459,521072,23520,122735,14837,87682,,,1097305
1860,348546,538234,28056,125582,15346,89821,,,1145585
1861,357362,539764,34367,130812,15936,89908,,,1168149
1862,366099,551388,45077,136562,17676,90116,,,1206918
1863,377084,567906,61467,142784,19412,90639,,,1259292
1864,390230,598003,73578,150754,20363,92255,,,1325183
1865,408506,617791,86921,161477,21381,93967,,,1390043
1866,428167,633602,95020,168907,22370,95889,,,1443955
1867,444059,648302,98722,172875,23147,96743,,,1483848
1868,462529,671324,106101,176568,24292,98738,,,1539552
1869,480784,696762,109161,181607,24653,99190,,,1592157
1870,497992,723925,115272,184546,25135,100886,,,1647756
1871,516704,746450,121743,188644,25447,101900,,,1700888
1872,534194,759428,128507,191828,25856,103034,,,1742847
1873,552836,773808,139928,197685,25952,104311,,,1794520
1874,573979,786108,154343,204246,26455,104261,,,1849392
1875,593367,794934,169105,210076,27002,103739,,,1898223
1876,613288,805424,182185,224560,27673,105549,,,1958679
1877,642845,818935,195794,238155,28242,107159,,,2031130
1878,671063,829918,200479,252099,28612,109993,,,2092164
1879,708666,841757,205220,265055,29139,112506,,,2162343
1880,741142,858605,211040,276393,29561,114790,,,2231531
1881,777025,873965,221849,285971,30156,117770,,,2306736
1882,809403,892765,242329,292092,31016,120477,,,2388082
1883,855398,912453,280615,301907,32086,123277,,,2505736
1884,899203,935777,301587,308947,33546,126665,,,2605725
1885,943867,959838,316681,309313,35959,128860,,,2694518
1886,983518,993717,332311,306710,40604,131190,,,2788050
1887,1014607,1025476,351880,310038,43820,135541,,,2881362
1888,1044290,1079077,367166,309453,43814,137877,,,2981677
1889,1074140,1104938,381489,314589,45660,141661,,,3062477
1890,1113275,1133728,392116,318947,48502,144787,,,3151355
1891,1153170,1158372,400395,324721,53177,151150,,,3240985
1892,1183157,1168747,409676,335392,58569,150212,,,3305753
1893,1206497,1176170,418993,344916,64923,150396,,,3361895
1894,1231755,1182155,429991,348774,81579,152506,,,3426760
1895,1255503,1185676,443064,351968,100515,154895,,,3491621
1896,1272364,1179850,452705,352067,136816,159296,,,3553098
1897,1295589,1182106,463294,352337,160495,163962,,,3617783
1898,1317445,1182281,474861,354813,166878,168437,,,3664715
1899,1339214,1188541,486315,359298,170258,172362,,,3715988
1900,1360305,1196213,493847,362107,179967,172900,,,3765339
1901,1375455,1209900,506721,364003,193601,175233,,,3824913
1902,1401943,1208231,512240,361481,211973,179450,,,3875318
1903,1425183,1204742,517728,361267,224748,182924,,,3916592
1904,1455458,1205608,524935,363574,239408,185167,,,3974150
1905,1487884,1210421,531482,366667,250138,186385,,,4032977
1906,1521618,1219832,538973,370417,255173,185472,,,4091485
1907,1561572,1232807,545805,377400,254540,189598,,,4161722
1908,1583923,1250449,557099,389403,259671,191733,,,4232278
1909,1613899,1277022,577845,396400,265675,193119,,,4323960
1910,1643855,1301408,599016,410169,276832,193803,,,4425083
1911,1699376,1339893,623123,419392,293923,192925,3233,1921,4573786
1912,1785412,1382553,638753,432947,305621,195927,3436,1940,4746589
1913,1844727,1415416,663811,444573,319935,199675,3616,1988,4893741
1914,1880241,1435188,681799,447896,322089,198703,3903,1959,4971778
1915,1893449,1424445,685067,445985,316663,197536,4483,1829,4969457
1916,1885051,1404663,677026,441838,306880,195603,4665,2223,4917949
1917,1920043,1417060,686504,446707,306838,198005,4802,2104,4982063
1918,1961967,1437245,704251,457552,310183,202843,4639,2232,5080912
1919,2038747,1503035,736138,481463,327860,209867,4545,1919,5303574
1920,2091722,1527909,750624,491006,331323,212752,3989,1972,5411297
1921,2131690,1550727,765724,501742,336548,218676,3759,2078,5510944
1922,2181517,1590273,782379,511602,345544,219768,3612,2591,5637286
1923,2222879,1625455,801844,522212,356859,220411,3650,2676,5755986
1924,2273023,1657151,822084,534946,368324,219672,3728,3074,5882002
1925,2322340,1684051,844842,547048,377527,219364,3821,4034,6003027
1926,2376678,1711987,862486,560925,385233,217575,4097,5039,6124020
1927,2433655,1741832,876385,569630,399897,219151,4596,5870,6251016
1928,2483129,1761746,890877,572587,414621,220319,4254,8237,6355770
1929,2519693,1778269,902136,572973,426637,223278,4780,8447,6436213
1930,2546353,1792605,916736,574467,431610,225297,4964,8719,6500751
1931,2566314,1803570,929726,577079,433686,228464,4846,8921,6552606
1932,2591731,1813387,939097,579293,436320,230607,4786,8564,6603785
1933,2613604,1824217,949144,582746,440642,232175,4827,9340,6656695
1934,2636463,1836660,959844,584489,443729,231638,4968,9456,6707247
1935,2658072,1841595,971297,586762,449623,233423,5130,9760,6755662
1936,2682320,1849607,982978,589770,454200,235773,5361,10404,6810413
1937,2711543,1856991,994580,591797,460542,239570,5426,11043,6871492
1938,2737191,1871099,1005523,595842,466684,242119,5730,11721,6935909
1939,2766415,1883133,1020095,599313,472380,243256,7287,13033,7004912
1940,2790948,1914918,1031452,599056,474076,244002,8974,14160,7077586
1941,2813056,1946425,1038471,606366,473213,242135,9769,14163,7143598
1942,2848140,1962558,1037925,610978,476655,242437,8291,14112,7201096
1943,2870711,1981616,1054584,616027,478264,244253,10405,13798,7269658
1944,2901039,1997954,1068255,623030,484775,246889,10477,14605,7347024
1945,2932998,2015107,1084864,630882,490088,250280,10546,15432,7430197
1946,2962392,2039769,1096831,640418,496973,254570,10642,16386,7517981
1947,3002634,2062709,1112818,654632,508762,267936,10892,17580,7637963
1948,3048306,2108125,1138544,670615,521999,273401,12185,19290,7792465
1949,3149806,2168884,1170319,695618,544184,281343,13339,22077,8045570
