date,year,month,PDO
185401,1854,01,-1.17
185402,1854,02,-0.95
185403,1854,03,-0.75
185404,1854,04,-0.52
185405,1854,05,-0.52
185406,1854,06,-0.92
185407,1854,07,-1.35
185408,1854,08,-1.52
185409,1854,09,-0.91
185410,1854,10,-1.25
185411,1854,11,-0.63
185412,1854,12,-0.69
185501,1855,01,0.33
185502,1855,02,0.44
185503,1855,03,0.08
185504,1855,04,-1.08
185505,1855,05,-2.05
185506,1855,06,-1.74
185507,1855,07,-1.8
185508,1855,08,-1.41
185509,1855,09,-0.93
185510,1855,10,-0.58
185511,1855,11,-0.21
185512,1855,12,0.2
185601,1856,01,0.07
185602,1856,02,0.34
185603,1856,03,-0.46
185604,1856,04,-0.89
185605,1856,05,-0.92
185606,1856,06,-0.7
185607,1856,07,-0.25
185608,1856,08,0.06
185609,1856,09,-0.83
185610,1856,10,-0.27
185611,1856,11,-0.13
185612,1856,12,-0.46
185701,1857,01,-0.91
185702,1857,02,-0.63
185703,1857,03,-0.47
185704,1857,04,-0.25
185705,1857,05,0.24
185706,1857,06,0.8
185707,1857,07,0.75
185708,1857,08,0.51
185709,1857,09,-0.06
185710,1857,10,-0.24
185711,1857,11,-0.27
185712,1857,12,-0.89
185801,1858,01,-1.46
185802,1858,02,-0.63
185803,1858,03,-0.82
185804,1858,04,-0.21
185805,1858,05,-0.03
185806,1858,06,0.51
185807,1858,07,-0.1
185808,1858,08,-0.11
185809,1858,09,-0.1
185810,1858,10,-0.19
185811,1858,11,0.75
185812,1858,12,0.57
185901,1859,01,0.72
185902,1859,02,-0.64
185903,1859,03,-0.94
185904,1859,04,-1.43
185905,1859,05,-1.29
185906,1859,06,-1.25
185907,1859,07,-0.43
185908,1859,08,-1.64
185909,1859,09,-1.76
185910,1859,10,-1
185911,1859,11,-0.04
185912,1859,12,-0.85
186001,1860,01,-1.13
186002,1860,02,-1.07
186003,1860,03,-1
186004,1860,04,-0.7
186005,1860,05,-0.44
186006,1860,06,0.56
186007,1860,07,0.55
186008,1860,08,0.12
186009,1860,09,3.07
186010,1860,10,0.57
186011,1860,11,-0.06
186012,1860,12,-0.76
186101,1861,01,-0.93
186102,1861,02,-1.17
186103,1861,03,-1.21
186104,1861,04,-1.1
186105,1861,05,-0.82
186106,1861,06,-0.64
186107,1861,07,-0.68
186108,1861,08,-0.97
186109,1861,09,-1.11
186110,1861,10,-1.54
186111,1861,11,-0.75
186112,1861,12,-0.51
186201,1862,01,-0.03
186202,1862,02,0.19
186203,1862,03,0.31
186204,1862,04,0.25
186205,1862,05,0.16
186206,1862,06,0.27
186207,1862,07,0.26
186208,1862,08,-0.26
186209,1862,09,-0.74
186210,1862,10,-0.67
186211,1862,11,-0.19
186212,1862,12,-0.23
186301,1863,01,-0.18
186302,1863,02,-0.18
186303,1863,03,-0.25
186304,1863,04,-0.02
186305,1863,05,0.23
186306,1863,06,0.12
186307,1863,07,-0.2
186308,1863,08,-0.24
186309,1863,09,0.12
186310,1863,10,0.33
186311,1863,11,0.33
186312,1863,12,0.06
186401,1864,01,-0.02
186402,1864,02,-0.12
186403,1864,03,-0.4
186404,1864,04,-0.38
186405,1864,05,-0.17
186406,1864,06,0.07
186407,1864,07,-0.18
186408,1864,08,-0.28
186409,1864,09,-0.34
186410,1864,10,-0.29
186411,1864,11,-0.1
186412,1864,12,-0.01
186501,1865,01,-0.53
186502,1865,02,-0.71
186503,1865,03,-0.14
186504,1865,04,-0.21
186505,1865,05,-0.22
186506,1865,06,-0.14
186507,1865,07,-0.05
186508,1865,08,0.02
186509,1865,09,-0.33
186510,1865,10,-0.35
186511,1865,11,-0.4
186512,1865,12,-0.64
186601,1866,01,-1.66
186602,1866,02,-1.64
186603,1866,03,-1.75
186604,1866,04,-0.01
186605,1866,05,-0.54
186606,1866,06,-0.37
186607,1866,07,-0.24
186608,1866,08,-0.27
186609,1866,09,-0.32
186610,1866,10,-0.19
186611,1866,11,0.04
186612,1866,12,-0.02
186701,1867,01,-0.01
186702,1867,02,-0.09
186703,1867,03,-0.26
186704,1867,04,-0.27
186705,1867,05,-0.17
186706,1867,06,-0.27
186707,1867,07,-0.26
186708,1867,08,-0.42
186709,1867,09,-0.49
186710,1867,10,-0.51
186711,1867,11,-0.38
